,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
414,2020-03-15T17:00:00,15,22,73,201,28,9,333
415,2020-03-15T17:00:00,16,6,116,90,2,16,230
416,2020-03-15T17:00:00,17,2,0,9,0,0,11
417,2020-03-15T17:00:00,18,6,32,28,1,1,68
418,2020-03-15T17:00:00,19,15,56,108,7,2,188
419,2020-03-15T17:00:00,20,0,16,59,0,2,77
420,2020-03-16T17:00:00,1,186,1045,174,0,111,1516
421,2020-03-16T17:00:00,2,5,28,70,0,2,105
422,2020-03-16T17:00:00,3,823,6171,3867,2368,1420,14649
423,2020-03-16T17:00:00,4,30,126,446,5,12,619
424,2020-03-16T17:00:00,5,156,498,1620,130,69,2473
425,2020-03-16T17:00:00,6,19,96,231,18,22,386
426,2020-03-16T17:00:00,7,73,255,247,42,50,667
427,2020-03-16T17:00:00,8,197,1362,1529,88,346,3522
428,2020-03-16T17:00:00,9,107,175,559,11,14,866
429,2020-03-16T17:00:00,10,15,30,114,4,1,164
430,2020-03-16T17:00:00,11,110,528,547,0,57,1242
431,2020-03-16T17:00:00,12,31,267,174,32,19,523
432,2020-03-16T17:00:00,13,37,71,57,7,4,176
433,2020-03-16T17:00:00,14,5,3,7,5,1,21
434,2020-03-16T17:00:00,15,22,103,238,28,9,400
435,2020-03-16T17:00:00,16,6,116,90,2,16,230
436,2020-03-16T17:00:00,17,2,1,9,0,0,12
437,2020-03-16T17:00:00,18,7,36,44,1,1,89
438,2020-03-16T17:00:00,19,20,75,108,8,2,213
439,2020-03-16T17:00:00,20,0,39,66,0,2,107
440,2020-03-17T17:00:00,1,206,1378,180,0,133,1897
441,2020-03-17T17:00:00,2,6,35,93,0,2,136
442,2020-03-17T17:00:00,3,879,6953,4263,2485,1640,16220
443,2020-03-17T17:00:00,4,33,178,439,11,15,676
444,2020-03-17T17:00:00,5,171,548,1769,136,80,2704
445,2020-03-17T17:00:00,6,21,104,222,17,30,394
446,2020-03-17T17:00:00,7,85,299,277,57,60,778
447,2020-03-17T17:00:00,8,223,1566,1615,134,393,3931
448,2020-03-17T17:00:00,9,143,329,552,12,17,1053
449,2020-03-17T17:00:00,10,21,36,135,4,1,197
450,2020-03-17T17:00:00,11,109,599,594,0,69,1371
451,2020-03-17T17:00:00,12,44,314,192,34,23,607
452,2020-03-17T17:00:00,13,32,94,90,7,6,229
453,2020-03-17T17:00:00,14,5,7,7,5,1,25
454,2020-03-17T17:00:00,15,24,127,272,28,9,460
455,2020-03-17T17:00:00,16,14,155,151,2,18,340
456,2020-03-17T17:00:00,17,2,5,13,0,0,20
457,2020-03-17T17:00:00,18,10,45,57,1,1,114
458,2020-03-17T17:00:00,19,28,86,112,8,3,237
459,2020-03-17T17:00:00,20,4,36,75,0,2,117
460,2020-03-18T17:00:00,1,227,1780,180,0,154,2341
461,2020-03-18T17:00:00,2,3,41,118,0,3,165
462,2020-03-18T17:00:00,3,924,7285,4057,3488,1959,17713
463,2020-03-18T17:00:00,4,40,220,542,13,16,831
